               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087402,            0.027453,            0.042974,           0.0029426,             0.75511,            0.019053,           0.0040071,            0.052814,             0.01223,            0.031747,              0.0705,           0.0032778,           0.0032778
                   1,            0.058406,            0.025079,            0.036709,            0.068141,              0.4075,            0.071856,            0.019723,            0.036312,           0.0096153,             0.02901,            0.040493,           0.0066046,           0.0066046
                   2,            0.056502,            0.021277,            0.031959,            0.067205,             0.14286,             0.18624,            0.070304,            0.036206,           0.0076272,            0.029575,             0.01048,           0.0099248,           0.0099248
                   3,            0.051641,            0.019545,            0.031722,             0.12269,             0.27619,             0.17288,            0.050349,            0.040749,           0.0071292,            0.028915,           0.0099703,           0.0099703,           0.0099703
                   4,            0.050564,            0.017146,            0.031644,             0.17812,             0.49282,             0.21823,            0.073917,            0.034048,           0.0058124,            0.027684,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045946,            0.015826,            0.032006,             0.21806,             0.66214,              0.3219,             0.15174,            0.024485,           0.0057997,            0.028093,           0.0099604,           0.0099604,           0.0099604
                   6,            0.044879,            0.015128,            0.031822,             0.25641,             0.73366,             0.41785,             0.21261,            0.021549,           0.0053526,            0.023297,           0.0099505,           0.0099505,           0.0099505
                   7,            0.041406,            0.015012,            0.029466,             0.27622,             0.70544,             0.40235,             0.19162,            0.026318,           0.0053722,            0.025017,           0.0099406,           0.0099406,           0.0099406
                   8,            0.039542,            0.014289,             0.02687,             0.29062,             0.61553,             0.38362,             0.20974,             0.02176,            0.005338,            0.025455,           0.0099307,           0.0099307,           0.0099307
                   9,            0.041529,            0.014384,            0.027152,             0.28324,             0.59123,             0.38628,             0.17628,            0.023432,           0.0056427,            0.027492,           0.0099208,           0.0099208,           0.0099208
                  10,            0.039715,            0.013458,            0.026206,             0.23793,             0.56304,             0.36525,             0.17985,            0.021969,            0.006582,            0.037512,           0.0099109,           0.0099109,           0.0099109
                  11,            0.038349,            0.014917,            0.026165,             0.34862,             0.59087,              0.4124,             0.17741,            0.026132,            0.005574,            0.025987,            0.009901,            0.009901,            0.009901
                  12,            0.036838,            0.013092,            0.025144,             0.35839,             0.71531,             0.42846,             0.23636,            0.020367,            0.004959,            0.023981,           0.0098911,           0.0098911,           0.0098911
                  13,            0.036841,            0.013221,            0.022957,              0.3977,             0.62558,             0.47142,             0.26767,            0.019703,           0.0049978,            0.024837,           0.0098812,           0.0098812,           0.0098812
                  14,            0.037449,            0.013254,            0.025225,             0.33069,              0.7127,             0.45004,              0.2457,            0.022545,           0.0047843,            0.025417,           0.0098713,           0.0098713,           0.0098713
                  15,            0.034908,            0.013156,            0.024237,             0.35665,             0.70936,             0.46571,             0.25854,            0.022873,           0.0048555,            0.025198,           0.0098614,           0.0098614,           0.0098614
                  16,            0.036543,            0.012656,            0.023739,             0.32353,             0.68354,             0.47304,             0.29767,            0.019377,           0.0047132,            0.023413,           0.0098515,           0.0098515,           0.0098515
                  17,            0.033945,            0.012724,            0.024193,             0.34375,               0.727,             0.51014,             0.30557,            0.019409,           0.0048773,             0.02298,           0.0098416,           0.0098416,           0.0098416
                  18,            0.035592,            0.013398,            0.024618,             0.35635,             0.77094,             0.46706,             0.21335,            0.026215,           0.0051323,            0.023312,           0.0098317,           0.0098317,           0.0098317
                  19,             0.03683,            0.012732,            0.023522,               0.347,             0.77233,             0.47491,             0.26354,            0.020915,           0.0048606,            0.024189,           0.0098218,           0.0098218,           0.0098218
                  20,            0.034243,            0.013013,            0.022616,              0.3674,              0.7888,             0.46554,             0.24328,            0.023379,           0.0058269,            0.022005,           0.0098119,           0.0098119,           0.0098119
                  21,            0.033457,            0.012498,            0.021539,             0.38435,              0.8274,             0.49844,             0.29064,            0.021214,           0.0048859,            0.022488,            0.009802,            0.009802,            0.009802
                  22,            0.032609,             0.01189,            0.022217,             0.38479,             0.70037,             0.53687,             0.27633,            0.020342,           0.0050626,            0.024017,           0.0097921,           0.0097921,           0.0097921
                  23,             0.03329,            0.012363,            0.023443,             0.40388,             0.67939,             0.50711,             0.26183,            0.021982,           0.0052232,            0.025252,           0.0097822,           0.0097822,           0.0097822
                  24,            0.032194,            0.012984,             0.01983,             0.39776,             0.60867,              0.5131,             0.28525,            0.021761,           0.0049921,            0.025392,           0.0097723,           0.0097723,           0.0097723
                  25,            0.032178,            0.012783,            0.019194,             0.37943,             0.60863,              0.5018,             0.30469,            0.018581,           0.0049019,             0.02776,           0.0097624,           0.0097624,           0.0097624
                  26,            0.033641,            0.012183,            0.022251,             0.33389,             0.57243,             0.43246,             0.26388,            0.019158,           0.0055088,            0.035274,           0.0097525,           0.0097525,           0.0097525
                  27,            0.033486,            0.012325,            0.022031,             0.38611,             0.66922,             0.48989,             0.27484,             0.02051,           0.0056395,            0.024791,           0.0097426,           0.0097426,           0.0097426
                  28,            0.035081,            0.012842,            0.021362,             0.43353,             0.56719,             0.49535,             0.28362,            0.021343,           0.0048199,            0.024088,           0.0097327,           0.0097327,           0.0097327
                  29,            0.032227,            0.012158,            0.021336,             0.51523,             0.63697,             0.55485,             0.29672,            0.022042,           0.0048774,             0.02162,           0.0097228,           0.0097228,           0.0097228
                  30,            0.031799,            0.012068,            0.019969,             0.39438,             0.52793,             0.54376,             0.28657,            0.021188,           0.0052053,            0.036082,           0.0097129,           0.0097129,           0.0097129
                  31,            0.031544,            0.012061,            0.016924,             0.49228,              0.6207,             0.61132,             0.34133,            0.020891,           0.0048298,             0.02147,            0.009703,            0.009703,            0.009703
                  32,            0.030071,            0.011915,            0.016836,             0.51187,             0.65058,             0.64819,             0.38878,            0.020839,           0.0047914,            0.017465,           0.0096931,           0.0096931,           0.0096931
                  33,            0.030805,            0.012543,            0.018117,             0.46397,             0.61048,              0.5104,             0.27728,            0.021472,           0.0051471,            0.037219,           0.0096832,           0.0096832,           0.0096832
                  34,            0.030729,            0.011839,            0.015801,             0.46615,              0.6206,             0.55811,              0.2986,            0.021043,           0.0053104,            0.026933,           0.0096733,           0.0096733,           0.0096733
                  35,            0.033378,            0.012476,            0.017204,             0.56015,             0.58213,             0.58756,             0.31086,            0.023135,           0.0052148,            0.021116,           0.0096634,           0.0096634,           0.0096634
                  36,            0.031679,            0.012109,            0.016091,             0.42743,             0.68346,             0.54279,             0.31883,            0.019454,           0.0048015,            0.023901,           0.0096535,           0.0096535,           0.0096535
                  37,            0.033196,            0.011923,            0.018275,             0.43322,              0.6892,             0.56719,              0.3196,            0.020463,           0.0047591,            0.022388,           0.0096436,           0.0096436,           0.0096436
                  38,             0.03103,            0.012229,            0.016599,             0.54349,             0.71568,             0.66542,             0.41858,            0.018994,           0.0048639,            0.020306,           0.0096337,           0.0096337,           0.0096337
                  39,            0.031509,             0.01194,            0.015101,             0.59247,             0.58255,             0.62797,             0.36139,            0.019995,           0.0047931,            0.023734,           0.0096238,           0.0096238,           0.0096238
                  40,            0.031367,             0.01203,             0.01365,             0.66026,             0.62506,             0.67411,             0.34838,            0.022471,           0.0049154,            0.018848,           0.0096139,           0.0096139,           0.0096139
                  41,            0.031371,            0.011692,            0.014043,             0.59891,             0.61509,             0.61074,             0.29365,            0.022434,           0.0049455,            0.022717,            0.009604,            0.009604,            0.009604
                  42,            0.030213,            0.011519,            0.016054,             0.52761,             0.71668,             0.64198,             0.38585,             0.01829,           0.0049005,            0.019886,           0.0095941,           0.0095941,           0.0095941
                  43,            0.028679,            0.011582,            0.013158,             0.55607,             0.72065,             0.67114,             0.37837,            0.020381,            0.004966,            0.017654,           0.0095842,           0.0095842,           0.0095842
                  44,            0.029686,            0.011367,            0.015071,             0.53129,             0.66802,             0.67008,              0.3573,            0.023416,           0.0047907,            0.018197,           0.0095743,           0.0095743,           0.0095743
                  45,            0.030362,             0.01139,            0.013776,             0.57962,             0.69944,             0.66296,             0.35874,            0.021725,           0.0047086,            0.018844,           0.0095644,           0.0095644,           0.0095644
                  46,            0.029192,            0.011302,            0.015651,             0.52451,             0.58572,             0.64583,             0.33569,            0.023137,           0.0046918,            0.023138,           0.0095545,           0.0095545,           0.0095545
                  47,            0.029105,            0.011948,             0.01352,             0.63655,             0.64362,             0.59284,             0.28974,            0.022143,           0.0049143,            0.022101,           0.0095446,           0.0095446,           0.0095446
                  48,            0.029099,               0.011,            0.013765,              0.5743,             0.65826,             0.65769,             0.35389,            0.022542,           0.0048355,            0.018814,           0.0095347,           0.0095347,           0.0095347
                  49,            0.029726,            0.011348,            0.011965,             0.64644,             0.62617,             0.67433,             0.36752,            0.021731,           0.0047987,            0.021291,           0.0095248,           0.0095248,           0.0095248
                  50,            0.028895,            0.011399,            0.013885,             0.50313,             0.65391,             0.59815,             0.38167,            0.017061,           0.0050492,            0.031136,           0.0095149,           0.0095149,           0.0095149
                  51,            0.031017,            0.011333,            0.014547,             0.53729,             0.66581,             0.66224,             0.39464,            0.018419,           0.0047241,            0.020664,            0.009505,            0.009505,            0.009505
                  52,            0.029625,             0.01147,            0.012349,             0.57139,             0.66598,              0.6757,             0.39128,            0.019436,           0.0047911,            0.018792,           0.0094951,           0.0094951,           0.0094951
                  53,            0.028885,             0.01154,            0.011966,             0.55399,             0.66962,             0.62811,             0.29327,            0.023151,           0.0050073,             0.02086,           0.0094852,           0.0094852,           0.0094852
                  54,            0.028769,            0.011791,            0.012679,             0.57746,             0.65037,             0.66345,             0.35585,            0.021631,           0.0050013,            0.021296,           0.0094753,           0.0094753,           0.0094753
                  55,            0.030329,            0.011795,             0.01564,             0.48959,             0.66294,              0.6126,             0.32455,            0.022253,            0.004803,             0.02407,           0.0094654,           0.0094654,           0.0094654
                  56,              0.0301,            0.011394,             0.01168,             0.49854,             0.69439,             0.61865,             0.31225,            0.023555,             0.00495,            0.024643,           0.0094555,           0.0094555,           0.0094555
                  57,            0.030904,            0.011622,            0.013938,              0.5073,             0.63052,             0.59863,             0.29771,            0.025456,           0.0054322,            0.025728,           0.0094456,           0.0094456,           0.0094456
