               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032563,            0.011789,             0.01529,             0.46975,             0.50878,             0.53389,             0.24382,            0.024463,           0.0058985,            0.035022,           0.0096535,           0.0096535,           0.0096535
                  37,            0.032789,            0.011179,             0.01539,              0.5227,             0.52068,             0.51446,             0.24578,            0.025252,           0.0068524,            0.026453,           0.0096436,           0.0096436,           0.0096436
                  38,            0.033079,            0.011521,            0.015958,             0.38548,             0.56347,             0.49612,             0.25597,            0.021936,           0.0062945,            0.025989,           0.0096337,           0.0096337,           0.0096337
                  39,            0.032519,            0.010971,            0.015036,             0.50279,             0.65046,             0.50916,              0.2534,            0.022014,           0.0060942,            0.024622,           0.0096238,           0.0096238,           0.0096238
                  40,            0.032423,            0.011544,            0.012776,             0.50358,             0.45952,             0.43666,             0.21352,            0.024943,           0.0062697,            0.032336,           0.0096139,           0.0096139,           0.0096139
                  41,            0.031961,            0.011455,            0.013728,             0.43299,             0.41153,             0.43892,             0.23706,            0.022087,           0.0060084,              0.0427,            0.009604,            0.009604,            0.009604
                  42,            0.032716,             0.01104,            0.016535,               0.433,             0.48741,             0.42702,             0.13691,            0.031861,           0.0056682,            0.038245,           0.0095941,           0.0095941,           0.0095941
                  43,            0.032839,            0.011453,            0.014281,             0.27529,             0.38861,             0.34983,             0.16008,            0.024321,           0.0061038,            0.045496,           0.0095842,           0.0095842,           0.0095842
                  44,            0.031756,            0.011714,            0.013864,             0.33974,             0.37995,             0.37523,             0.15186,            0.025596,           0.0058942,            0.054639,           0.0095743,           0.0095743,           0.0095743
                  45,            0.033334,            0.011781,            0.012062,             0.50722,             0.63499,             0.58478,             0.29878,            0.022352,           0.0060134,            0.027063,           0.0095644,           0.0095644,           0.0095644
                  46,            0.031729,             0.01058,            0.010695,             0.52974,             0.54309,             0.45015,              0.1656,            0.031334,           0.0064595,            0.031567,           0.0095545,           0.0095545,           0.0095545
                  47,            0.032846,            0.011377,            0.014676,             0.31166,             0.21178,             0.16323,            0.060049,            0.042848,           0.0080843,            0.039697,           0.0095446,           0.0095446,           0.0095446
                  48,            0.031402,            0.010762,            0.013174,              0.4992,             0.42898,             0.41113,             0.18468,            0.028183,           0.0067005,            0.032971,           0.0095347,           0.0095347,           0.0095347
                  49,            0.032714,            0.011325,            0.010867,             0.51335,             0.62132,              0.6289,              0.3661,            0.020616,           0.0057046,            0.025354,           0.0095248,           0.0095248,           0.0095248
                  50,             0.03297,            0.011023,            0.012324,             0.61226,             0.55751,             0.60281,             0.32136,            0.021581,           0.0058825,            0.026068,           0.0095149,           0.0095149,           0.0095149
                  51,            0.032168,            0.011605,             0.01163,             0.61005,              0.4497,             0.55496,             0.29896,            0.022302,           0.0059338,            0.026636,            0.009505,            0.009505,            0.009505
                  52,            0.030465,            0.010801,            0.012011,             0.53578,             0.50984,             0.46713,             0.23276,            0.021615,           0.0060513,            0.044397,           0.0094951,           0.0094951,           0.0094951
                  53,            0.029423,            0.011255,            0.012466,             0.48699,             0.43354,              0.4131,             0.18279,            0.025596,           0.0067134,            0.029553,           0.0094852,           0.0094852,           0.0094852
                  54,            0.031336,            0.011305,            0.011781,             0.47785,             0.56934,             0.45045,             0.19794,             0.02662,           0.0061383,            0.029565,           0.0094753,           0.0094753,           0.0094753
                  55,            0.030101,              0.0111,            0.012231,             0.53912,             0.51004,             0.51572,             0.26274,            0.024368,           0.0056193,            0.028284,           0.0094654,           0.0094654,           0.0094654
                  56,              0.0298,            0.012036,            0.010191,             0.62012,             0.52569,             0.54234,             0.27895,            0.023947,           0.0062737,            0.028809,           0.0094555,           0.0094555,           0.0094555
                  57,            0.031297,            0.010893,           0.0096101,             0.48645,             0.51463,             0.41701,             0.19375,            0.025651,           0.0060949,             0.03894,           0.0094456,           0.0094456,           0.0094456
                  58,            0.029689,            0.011171,            0.010764,             0.55536,             0.54698,             0.50475,             0.26396,             0.02409,           0.0056252,            0.041699,           0.0094357,           0.0094357,           0.0094357
                  59,            0.028649,            0.011063,            0.010277,             0.57252,              0.5361,             0.50082,             0.26325,            0.023963,           0.0059073,            0.035107,           0.0094258,           0.0094258,           0.0094258
                  60,            0.031172,            0.011051,               0.013,             0.51421,             0.51227,             0.41346,             0.20984,            0.025771,           0.0058324,            0.045081,           0.0094159,           0.0094159,           0.0094159
                  61,            0.030774,            0.010889,            0.013231,             0.45797,             0.47175,             0.41403,             0.19879,            0.027429,           0.0064194,            0.043372,            0.009406,            0.009406,            0.009406
                  62,            0.030549,            0.011164,            0.010558,             0.70166,             0.50981,             0.60663,             0.31356,            0.022473,           0.0060756,            0.027344,           0.0093961,           0.0093961,           0.0093961
                  63,            0.029478,             0.01108,            0.010455,             0.56344,             0.60757,             0.56127,             0.31078,            0.020627,           0.0060785,            0.030933,           0.0093862,           0.0093862,           0.0093862
                  64,            0.030112,            0.010886,           0.0092989,             0.57335,             0.48308,              0.4748,             0.23468,            0.023101,           0.0060847,            0.030518,           0.0093763,           0.0093763,           0.0093763
                  65,            0.029331,            0.010406,           0.0086497,             0.56724,             0.57873,             0.60593,             0.27377,            0.027529,           0.0053806,            0.021051,           0.0093664,           0.0093664,           0.0093664
                  66,            0.030527,             0.01053,            0.008657,             0.58821,             0.56497,             0.58397,             0.31232,            0.021448,            0.005183,            0.024615,           0.0093565,           0.0093565,           0.0093565
                  67,            0.029807,            0.011077,            0.011515,             0.57022,              0.6102,             0.58275,             0.26953,            0.022913,           0.0053852,            0.033435,           0.0093466,           0.0093466,           0.0093466
                  68,            0.029238,            0.010792,            0.010237,             0.59059,             0.63081,             0.62625,              0.2616,            0.025489,           0.0057099,            0.025977,           0.0093367,           0.0093367,           0.0093367
                  69,            0.030656,            0.010534,            0.009188,             0.46742,             0.67863,             0.57894,             0.28344,            0.023037,           0.0058923,            0.030334,           0.0093268,           0.0093268,           0.0093268
                  70,            0.029375,            0.010866,           0.0092276,             0.45555,             0.64749,             0.59886,             0.32541,            0.022565,           0.0056748,             0.03302,           0.0093169,           0.0093169,           0.0093169
